2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Tomball | C4931020 | Expanded Cohort,20,,20,,,,Tomball,C4931020,Pneumococcal,≥ 65 to < 85 years of age,Maintenance,Maintenance,01/09/2026,03/12/2026,,,22,5631,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOM (Brooklyn) | D6973C00001 |,30,,20,,,,AOM (Brooklyn),D6973C00001,Cardiovascular Disease,Elderly Adults (50+),Enrolling,Enrolling,07/24/2025,3/23/2027,,,24,3890,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,5,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1
Dominion (San Antonio) | D6973C00001 |,31,,20,,,,Dominion (San Antonio),D6973C00001,Cardiovascular Disease,Elderly Adults (50+),Enrolling,Enrolling,08/28/2025,03/23/2027,,,4,3941,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,5,2,3,3,3,3,3,3,2,2,1,0,0,0,0,0
Tomball | D6973C00001 |,31,,15,,,,Tomball,D6973C00001,Cardiovascular Disease,Elderly Adults (50+),Enrolling,Enrolling,12/23/2025,03/23/2027,,,4,3889,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,5,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0
Phoenix | D7960C00015 |,13,,6,,,,Trident (Phoenix),D7960C00015,Dyslipidemia,adults greater than and equal to 18 years of age,Enrolling,Greenlight Received,02/09/2026,04/16/2027,,,8,7004,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0
San Antonio | D7960C00015 |,16,,15,,,,San Antonio,D7960C00015,Dyslipidemia,adults greater than and equal to 18 years of age,Enrolling,Enrolling,11/30/2025,08/15/2027,,,13,5344,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sugarland | D7960C00015 |,23,,15,,,,Sugarland,D7960C00015,Dyslipidemia,adults greater than and equal to 18 years of age,Enrolling,Enrolling,11/30/2025,08/15/2027,,,13,5346,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,2,2,1,1,3,3,2,2,1,0,1,1,2,0
Tomball Rheumatology | ELV001-201 |,8,,4,,,,Tomball Rheumatology,ELV001-201,Rheumatoid Arthritis,adults greater than and equal to 18 years of age,Enrolling,Greenlight Received,04/01/2026,04/15/2027,,,3,7118,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
Tomball | GSBR-1290-10 |,4,,4,,,,Tomball,GSBR-1290-10,Obesity,adults greater than and equal to 18 years of age,Enrolling,Greenlight Received,10/20/2025,04/27/2026,,,10,6426,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomball | K-304-P004 |,25,,25,,,,Tomball,K-304-P004,Migraine,18 to 70 years of age,Startup,Site Selected,08/31/2026,04/29/2027,,,,7497,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
Tomball | K9531-3103 (OAB58025) |,58,,30,,,,Tomball,K9531-3103 (OAB58025),Obesity,"18 to 75 Years (Adults, Older Adults)",Enrolling,Enrollment Paused,12/10/2025,10/14/2026,,,10,5899,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,12,5,10,5,5,5,5,5,0,0,0,0,0,0,0,0
Phoenix | K9531-3107 |,38,,25,,,,Phoenix,K9531-3107,Obesity,"18 to 75 Years (Adults, Older Adults)",Enrolling,Greenlight Received,01/30/2026,10/04/2026,,,10,6712,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,8,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
Rheumatology Clinic of Houston | M25-056 | Substudy 1,14,,10,,,,Rheumatology Clinic of Houston,M25-056,Rheumatoid Arthritis,18 to 49 years of age,Startup,SIV Scheduled,04/23/2026,07/31/2026,,,20,4847,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,4,2,1,2,1,2,0,0,0,0,0,0,0,0,0
Albuquerque | mRNA-1273_1283-P401 |,150,,100,,,,Albuquerque,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/12/2025,06/30/2026,,,150,6763,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire | mRNA-1273_1283-P401 |,150,,100,,,,Bellaire,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/17/2025,06/30/2026,,,150,6762,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston | mRNA-1273_1283-P401 |,150,,100,,,,Boston,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/11/2025,06/30/2026,,,150,6761,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago | mRNA-1273_1283-P401 |,150,,100,,,,Chicago,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/11/2025,06/30/2026,,,150,6772,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyfair | mRNA-1273_1283-P401 |,150,,100,,,,Cyfair,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/17/2025,06/30/2026,,,150,6764,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit | mRNA-1273_1283-P401 |,150,,100,,,,Detroit,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/16/2025,06/30/2026,,,150,6766,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City | mRNA-1273_1283-P401 |,150,,100,,,,Jersey City,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/18/2025,06/30/2026,,,150,6767,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia | mRNA-1273_1283-P401 |,150,,100,,,,Philadelphia,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/17/2025,06/30/2026,,,150,6774,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Antonio | mRNA-1273_1283-P401 |,150,,100,,,,San Antonio,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/17/2025,06/30/2026,,,150,6768,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarland | mRNA-1273_1283-P401 |,150,,100,,,,Sugarland,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/10/2025,06/30/2026,,,150,6769,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomball | mRNA-1273_1283-P401 |,150,,100,,,,Tomball,mRNA-1273_1283-P401,COVID-19,50 to 65 years of age,Maintenance,Maintenance,12/19/2025,06/30/2026,,,150,6771,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyfair | PARA_OA_012 |,10,,7,,,,Cyfair,PARA_OA_012,Osteoarthritis,adults greater than and equal to 18 years of age,Enrolling,Enrolling,10/31/2025,04/30/2026,,,20,6043,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Sugarland | VAX31-105 |,35,,35,,,,Sugarland,VAX31-105,Pneumococcal,Elderly Adults (50+),Enrolling,Enrollment Paused,2/9/2026,05/09/2026,,,65,2525,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | 218130 |,125,,80,,,,Albuquerque,218130,Influenza,> 65 years of age,Pipeline,PSV Completed,9/1/2026,10/29/2026,,,125,2621,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | 218132 |,80,,60,,,,Albuquerque,218132,Influenza,18 to 49 years of age,Pipeline,PSV Completed,10/01/2026,12/15/2026,,,125,2628,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | 221847 |,100,,80,,,,Albuquerque,221847,COVID-19,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,10/01/2026,4/16/2027,,,150,4997,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | AIC316-01-III-01 |,20,,4,,,,Albuquerque,AIC316-01-III-01,HSV Treatment,adults greater than and equal to 18 years of age,Startup,Site Selected,05/28/2026,12/3/2026,,,4,6211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,1,2,1,2,1,2,0,2,1,2,0,1,0
Albuquerque | BC #139639-01 |,5,,0,,,,Albuquerque,BC #139639-01,UTI,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,4/1/2027,,,10,5455,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S) APD Research - Affiliate | IT001-308 |IT001-308 |,20,,0,,,,LinQ Research - Affiliate,(S) APD Research - Affiliate | IT001-308 |IT001-308,UTI,≥ 21 and < 65 years of age,Enrolling,Enrolling,01/24/2023,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque | C4931009 |,75,,60,,,,Albuquerque,C4931009,Pneumococcal,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,04/21/2026,08/17/2026,,,212,4936,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | C4931014 |,60,,40,,,,Albuquerque,C4931014,Pneumococcal,> 65 years of age,Pipeline,On Hold/Postponed,04/03/2026,06/12/2026,,,50,4958,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | C6271002 |,145,,128,,,,Albuquerque,C6271002,Influenza,adults greater than and equal to 18 years of age,Pipeline,On Hold/Postponed,09/05/2026,10/01/2026,,,215,6386,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D7265C00001 |,8,,6,,,,Albuquerque,D7265C00001,Chronic Kidney Disease,adults greater than and equal to 18 years of age,Pipeline,FQ Submitted,06/06/2026,03/01/2028,,,8,7138,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D7266C00001 |,13,,11,,,,Albuquerque,D7266C00001,CVOT,adults greater than and equal to 18 years of age,Pipeline,FQ Submitted,07/06/2026,03/15/2027,,,13,6992,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D8750C00010 |,5,,4,,,,Albuquerque,D8750C00010,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,07/23/2026,,,13,6285,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D8750C00011 |,5,,4,,,,Albuquerque,D8750C00011,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,06/26/2026,,,13,6305,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D8750C00012 |,13,,10,,,,Albuquerque,D8750C00012,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,07/31/2026,,,13,6284,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | D8750C00014 |,13,,10,,,,Albuquerque,D8750C00014,Obesity,"18 to 75 Years (Adults, Older Adults)",Pipeline,FQ Submitted,08/01/2026,08/21/2026,,,13,6295,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | ELU42 |,10,,8,,,,Albuquerque,ELU42,Diabetic Foot Ulcer,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,05/22/2026,,,10,6100,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | J3L-MC-EZEF |,15,,12,,,,Albuquerque,J3L-MC-EZEF,Atherosclerotic cardiovascular disease,adults greater than and equal to 18 years of age,Pipeline,Potential,04/01/2026,11/28/2026,,,15,6008,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | MAB02735 |,80,,64,,,,Albuquerque,MAB02735,RSV Vaccine,18 to 49 years of age,Pipeline,Potential,08/01/2026,08/31/2026,,,100,4214,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Albuquerque | MET233-097-25-202 |,N/A,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,6811,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
02-GI-002-Ayub |,0,,0,,,,Avicenna - Affiliate,02-GI-002-Ayub,Others,"18 to 75 Years (Adults, Older Adults)",Enrolling,Enrolling,01/17/2023,,,,,1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque | mRNA-1403-P301 | Additional Cohort,75,,45,,,,Albuquerque,mRNA-1403-P301,Norovirus,> 60 years of age,Maintenance,Maintenance,11/26/2025,01/28/2026,,,75,6868,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | NN9388-7864 |,3,,3,,,,Albuquerque,NN9388-7864,Diabetic Neuropathy,18 to 49 years of age,Maintenance,Maintenance,08/15/2025,11/07/2025,,,4,6268,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-GI-002-Bhuva |,0,,0,,,,Avicenna - Affiliate,02-GI-002-Bhuva,Others,"18 to 75 Years (Adults, Older Adults)",Enrolling,Enrolling,01/17/2023,,,,,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque | None at the moment |,0,,0,,,,Albuquerque,None at the moment,Contraception,18 to 49 years of age,Pipeline,Pre-award,01/01/2026,11/14/2026,,,13,5764,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | None at the moment |,0,,0,,,,Albuquerque,None at the moment,Herpes Zoster,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5802,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | None at the moment |,0,,0,,,,Albuquerque,None at the moment,Urticaria,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,5916,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | None at the moment |,0,,0,,,,Albuquerque,None at the moment,Hypothyroidism,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,01/01/2027,,,8,5923,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Pneumococcal,50 to 80 years of age,Pipeline,Pre-award,03/01/2026,05/31/2026,,,100,5957,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Food Allergy,4 to <56 years of age,Pipeline,Pre-award,01/01/2026,11/01/2026,,,10,6020,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Pulmonary Hypertension,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,01/01/2027,,,10,6064,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,MASH,"18 to 75 Years (Adults, Older Adults)",Pipeline,Potential,04/01/2026,04/01/2027,,,10,6160,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,04/01/2026,04/01/2027,,,10,6172,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Erectile Dysfunction,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,01/01/2026,07/31/2026,,,15,6194,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,COVID-19,50 to 65 years of age,Pipeline,Pre-award,4/1/2026,06/01/2026,,,50,6225,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,CVOT,"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,7/1/2026,07/31/2027,,,122,6364,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | None at the moment |,0,,0,,,,Albuquerque,None at the moment,HSV,adults greater than and equal to 18 years of age,Pipeline,Pre-award,3/1/2026,8/31/2026,,,15,6371,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,GBS Maternal Vaccine,18 to 49 years of age,Pipeline,Pre-award,4/1/2026,8/28/2026,,,2,6452,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Epstein Barr,18 to 20 years of age,Pipeline,Pre-award,7/1/2026,07/01/2027,,,50,6467,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,colorectal cancer (CRC),"18 to 75 Years (Adults, Older Adults)",Pipeline,Pre-award,4/30/2026,04/30/2027,,,8,6726,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Obesity,adults greater than and equal to 18 years of age,Pipeline,Pre-award,5/1/2026,05/01/2027,,,50,6853,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,ST-elevation Myocardial Infarction,"18 to 75 Years (Adults, Older Adults)",Archive,CRO Not Selected,7/1/2026,12/31/2026,,,6,6974,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,,,0,,,,Albuquerque,none at the moment,Focal-Onset Seizures,17-70 years of age,Pipeline,Potential,4/1/2026,4/1/2027,,,5,7036,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Obesity,adults greater than and equal to 18 years of age,Archive,DM Declined,5/2/2026,2/1/2027,,,8,7041,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque | none at the moment |,0,,0,,,,Albuquerque,none at the moment,Chronic Lower Back Pain,adults greater than and equal to 18 years of age,Pipeline,Potential,4/29/2026,07/26/2026,,,8,7068,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
