,,4/24/2026,Latest Pipeline Update Date,,,,,,,,,,,,,,,,,,,,Link to Randomization Goals,,,,,,,,,,,,,,,,,,,Site Selector:,,,,,,,,,,,,,,,,,,Sponsor Selection:,,"Click on the upper ""+"" view month and lower ""+"" to view Qtr ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline,Vaccine,,From 75% and above,22,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,3.1%,"  2,492,330 ",  - ,"  2,492,330 ",  - ,  - ,"  154,186 ","  2,338,144 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  154,186 ","  1,089,421 ","  806,524 ","  442,199 ",,"  1,067,907 ","  533,023 ","  517,544 ","  11,560 ","  5,780 ","  200,424 ","  179,950 ","  152,649 ","  187,724 ","  198,550 ","  131,270 ","  4,335 ",  - ,"  7,225 ","  5,780 ",  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  2,769 ",  - ,"  2,769 ",  - ,  - ,  171 ,"  2,598 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  171 ,"  1,210 ",  896 ,  491 ,,,,,
Pipeline,Vaccine,,Pipeline - Vaccine,501,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,5.1%,"  3,378,067 ",  - ,"  3,378,067 ",  - ,"  188,924 ","  495,681 ","  2,693,462 ",  - ,  - ,  - ,  - ,"  77,760 ","  111,164 ","  114,912 ","  114,912 ","  265,857 ","  1,209,148 ","  922,389 ","  561,925 ",9.4%,"  1,795,972 ","  879,414 ","  722,913 ","  127,360 ","  66,284 ","  320,368 ","  288,307 ","  270,739 ","  300,510 ","  249,944 ","  172,459 ","  45,929 ","  37,711 ","  43,720 ","  39,241 ","  17,708 ","  9,335 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  3,753 ",  - ,"  3,753 ",  - ,  210 ,  551 ,"  2,993 ",  - ,  - ,  - ,  - ,  86 ,  124 ,  128 ,  128 ,  295 ,"  1,343 ","  1,025 ",  624 ,,,,,OK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline,Non-Vaccine,,up to 24%,658,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.4%,"  286,714 ",  - ,"  286,714 ",  - ,"  38,128 ","  116,161 ","  132,425 ",  - ,  - ,  - ,  366 ,"  11,322 ","  26,440 ","  34,696 ","  40,694 ","  40,772 ","  44,524 ","  42,903 ","  44,998 ",0.5%,"  381,600 ","  128,818 ","  110,694 ","  91,310 ","  50,778 ","  45,093 ","  39,894 ","  43,831 ","  42,148 ","  37,850 ","  30,696 ","  31,453 ","  31,041 ","  28,816 ","  26,724 ","  15,151 ","  8,903 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  319 ,  - ,  319 ,  - ,  42 ,  129 ,  147 ,  - ,  - ,  - ,  0 ,  13 ,  29 ,  39 ,  45 ,  45 ,  49 ,  48 ,  50 ,,,,,
Pipeline,Non-Vaccine,,From 25% to 74%,158,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,3.9%,"  3,129,219 ",  - ,"  3,129,219 ",  - ,"  167,814 ","  1,197,880 ","  1,763,525 ",  - ,  - ,  - ,  - ,"  48,240 ","  119,574 ","  161,822 ","  471,316 ","  564,742 ","  628,742 ","  575,502 ","  559,281 ",5.0%,"  3,978,590 ","  1,372,142 ","  980,986 ","  919,827 ","  705,635 ","  540,649 ","  438,329 ","  393,165 ","  335,147 ","  332,188 ","  313,651 ","  319,150 ","  308,962 ","  291,715 ","  288,690 ","  200,280 ","  216,665 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  3,477 ",  - ,"  3,477 ",  - ,  186 ,"  1,331 ","  1,959 ",  - ,  - ,  - ,  - ,  54 ,  133 ,  180 ,  524 ,  627 ,  699 ,  639 ,  621 ,,,,,
Pipeline,Non-Vaccine,,From 75% and above,23,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,1.1%,"  840,182 ",  - ,"  840,182 ",  - ,"  50,991 ","  309,302 ","  479,888 ",  - ,  - ,  - ,  - ,"  24,753 ","  26,238 ","  64,712 ","  108,395 ","  136,195 ","  173,977 ","  142,762 ","  163,150 ",1.1%,"  887,488 ","  355,705 ","  217,784 ","  156,512 ","  157,488 ","  150,522 ","  105,154 ","  100,030 ","  82,206 ","  76,854 ","  58,725 ","  58,575 ","  51,541 ","  46,396 ","  56,458 ","  44,758 ","  56,272 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  934 ,  - ,  934 ,  - ,  57 ,  344 ,  533 ,  - ,  - ,  - ,  - ,  28 ,  29 ,  72 ,  120 ,  151 ,  193 ,  159 ,  181 ,,,,,
Pipeline,Non-Vaccine,,Pipeline - Non-Vaccine,839,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,6.4%,"  4,256,115 ",  - ,"  4,256,115 ",  - ,"  256,934 ","  1,623,343 ","  2,375,838 ",  - ,  - ,  - ,  366 ,"  84,315 ","  172,253 ","  261,230 ","  620,405 ","  741,709 ","  847,242 ","  761,167 ","  767,429 ",27.5%,"  5,247,678 ","  1,856,666 ","  1,309,464 ","  1,167,648 ","  913,900 ","  736,264 ","  583,376 ","  537,026 ","  459,500 ","  446,891 ","  403,072 ","  409,178 ","  391,544 ","  366,926 ","  371,872 ","  260,189 ","  281,840 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  4,729 ",  - ,"  4,729 ",  - ,  285 ,"  1,804 ","  2,640 ",  - ,  - ,  - ,  0 ,  94 ,  191 ,  290 ,  689 ,  824 ,  941 ,  846 ,  853 ,,,,,OK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total - Pipeline,"2,179",0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,11.5%,"  7,634,182 ",  - ,"  7,634,182 ",  - ,"  445,858 ","  2,119,024 ","  5,069,300 ",  - ,  - ,  - ,  366 ,"  162,075 ","  283,417 ","  376,142 ","  735,317 ","  1,007,566 ","  2,056,390 ","  1,683,556 ","  1,329,355 ",37.0%,"  7,043,650 ","  2,736,080 ","  2,032,377 ","  1,295,009 ","  980,185 ","  1,056,632 ","  871,683 ","  807,765 ","  760,010 ","  696,835 ","  575,531 ","  455,107 ","  429,256 ","  410,646 ","  411,113 ","  277,897 ","  291,175 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  8,482 ",  - ,"  8,482 ",  - ,  495 ,"  2,354 ","  5,633 ",  - ,  - ,  - ,  0 ,  180 ,  315 ,  418 ,  817 ,"  1,120 ","  2,285 ","  1,871 ","  1,477 ",,,,,OK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Concentration Check,#REF!
Awarded,Vaccine,Backlog,Awarded - Vaccine,24,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,7.9%,"  6,236,001 ",  - ,"  6,236,001 ",  - ,"  14,315 ","  87,089 ","  6,134,597 ",  - ,  - ,  - ,  - ,"  4,110 ","  10,204 ","  17,872 ","  17,638 ","  51,579 ","  4,872,200 ","  1,085,225 ","  177,172 ",3.4%,"  2,718,371 ","  1,191,596 ","  1,186,734 ","  170,451 ","  169,591 ","  707,522 ","  476,866 ","  7,208 ","  655,625 ","  522,047 ","  9,062 ","  116,210 ","  51,032 ","  3,210 ","  96,476 ","  70,413 ","  2,701 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,"  6,929 ",  - ,"  6,929 ",  - ,  16 ,  97 ,"  6,816 ",  - ,  - ,  - ,  - ,  5 ,  11 ,  20 ,  20 ,  57 ,"  5,414 ","  1,206 ",  197 ,,,,Combine Table,#REF!
Awarded,Non-Vaccine,,Awarded - Non-Vaccine,58,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,0.0%,"  21,700 ",  - ,  - ,  - ,"  21,700 ",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  21,700 ",  - ,5.7%,"  4,535,802 ",  - ,"  4,535,802 ",  - ,"  454,640 ","  2,118,455 ","  1,962,707 ",  - ,  - ,  - ,  - ,"  17,149 ","  437,491 ","  665,596 ","  712,331 ","  740,528 ","  802,348 ","  651,555 ","  508,803 ",2.9%,"  2,339,181 ","  941,659 ","  733,919 ","  401,390 ","  262,212 ","  415,894 ","  220,025 ","  305,740 ","  209,906 ","  202,957 ","  321,056 ","  159,609 ","  134,837 ","  106,943 ","  119,578 ","  70,691 ","  71,943 ",,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,,  24 ,  - ,  - ,  - ,  24 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  24 ,  - ,,"  5,040 ","  21,700 ","  5,040 ",  - ,  505 ,"  2,354 ","  2,181 ",  - ,  - ,  - ,  - ,  19 ,  486 ,  740 ,  791 ,  823 ,  891 ,  724 ,  565 ,,,,,
