Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
PMT,92,708,RFT | mRNA-1345-P301 | Ph 2,River Forest,Dr. Mary Brown,mRNA-1345-P301 - Phase 2,Closed,Closed,Moderna,PPD,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,1/3/2022,Non-Psych,"36,504", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,708RFT | mRNA-1345-P301 | Ph 2,23,0,23,"362,152","362,152",No Priority,"452,306",Q1,PPD,Closed,River Forest,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,17,17,0,,17,-17,17,-17,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,408,963,RFT | C3671013,River Forest,Dr. Mary Brown,C3671013,Maintenance,Maintenance,Pfizer,ICON,RSV Vaccine,Vaccine-Respiratory,Vaccine,,0,"3,784","1,261","1,261",0,0,0,0,0,0,0,0,"6,306.31",Maintenance,0,100%,,10/25/2021,Non-Psych,"6,826",Pfizer-DMCR-C3671013,ICON,Pfizer,Active,Closed,963RFT | C3671013,90,0,90,"63,099","63,099",No Priority,"215,760",Q4,ICON,Closed,River Forest,Vaccine-Respiratory,76% - 85%,Closed,Pfizer,ICON,Not Priority,"5,045","1,261",0,  - ,,0,0,0,0,99,99,0,,99,-99,99,-99,,"1,292",301 Onwards,N/A,Not Included,,,,,0,"3,784","1,261","1,261","6,306"
PMT,274,1315,RFT | ALN-AGT01-002,River Forest,Dr. Mary Brown,ALN-AGT-01-002,Closed,Pre-Closed,Alnylam Pharma,IQVIA,Hypertension,Cardiovascular,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,8/25/2022,Non-Psych,"26,325",Alnylam-DMCR-ALN-AGT01-002,IQVIA,Alnylam Pharma,Active,Closed,1315RFT | ALN-AGT01-002,2,0,2,0,0,No Priority,"7,751",Q3,IQVIA,Closed,River Forest,Cardiovascular,76% - 85%,Closed,Other,IQVIA,Not Priority,0,0,0,  - ,,0,0,0,0,,,0,,0,0,0,0,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,269,75,RFT | ALT-801-104,River Forest,Dr. Gerald Cerniak,ALT-801-104,Closed,Closed,Altimmune,LBR Regulatory,Type 2 Diabetes,General Medicine,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/10/2022,Non-Psych,"27,479",Altimmune-DMCR-ALT-801-104,LBR Regulatory,Altimmune,Active,Closed,75RFT | ALT-801-104,11,0,11,0,0,No Priority,"3,990",Q4,Others,Closed,River Forest,Endocrine & Metabolism,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,5,,,0,,0,5,0,5,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,216,1141,RFT | VAV00002,River Forest,Dr. Mary Brown,VAV00002,Maintenance,Maintenance,Sanofi,ICON,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,"-10,179",0,0,0,0,0,0,0,"-10,179.00",Closed,0,100%,,11/1/2022,Non-Psych,"12,771",Sanofi-DMCR-VAV00002,ICON,Sanofi,Active,Closed,1141RFT | VAV00002,10,0,10,"39,158","39,158",No Priority,"213,402",Q4,ICON,Closed,River Forest,Vaccine-Influenza,76% - 85%,Closed,Sanofi,ICON,Not Priority,0,"-10,179",0,  - ,,0,0,0,0,12,12,0,,12,-12,12,-12,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,99,709,RFT | mRNA-1345-P901,River Forest,Dr. Mary Brown,mRNA-1345-P901,Closed,Closed,Moderna,None,RSV Vaccine,Vaccine-RSV,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/7/2022,Non-Psych,925,Moderna-DMCR-mRNA-1345-P901,No CRO,Moderna,Active,Closed,709RFT | mRNA-1345-P901,28,0,28,"12,950","12,950",No Priority,"20,200",Q4,No CRO,Closed,River Forest,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Other,Not Priority,0,0,0,  - ,,0,0,0,20,28,28,0,,28,-8,28,-8,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,151,1143,RFT | VAV00029,River Forest,Dr. Mary Brown,VAV00029,Maintenance,Maintenance,Sanofi,ICON,Influenza,Vaccine-Influenza,Vaccine,,0,"-7,119",0,0,"-2,969",0,0,0,0,0,0,0,"-10,088.00",Maintenance,0,100%,,1/30/2023,Non-Psych,"13,939",Sanofi-DMCR-VAV00029,ICON,Sanofi,Active,Closed,1143RFT | VAV00029,13,0,13,"147,895","147,895",No Priority,"216,428",Q1,ICON,Closed,River Forest,Vaccine-Influenza,76% - 85%,Closed,Sanofi,ICON,Not Priority,"-7,119","-2,969",0,  - ,,0,0,0,25,14,14,0,,14,11,14,11,,"1,292",301 Onwards,N/A,Not Included,,,,,0,"-7,119",0,0,"-7,119"
PMT,102,783,RFT | mRNA-1010-P302,River Forest,Dr. Mary Brown,mRNA-1010-P302,Closed,Closed,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,10/13/2022,Non-Psych,"11,290",Moderna-DMCR-mRNA-1010-P302,Parexel,Moderna,Active,Closed,783RFT | mRNA-1010-P302,94,0,94,"434,653","434,653",No Priority,"513,647",Q4,Parexel,Closed,River Forest,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,0,113,113,0,,113,-113,113,-113,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,92,1408,CYF | mRNA-1345-P301 | Ph 3,CyFair,Dr. Muhammad Irfan,mRNA-1345-P301 - Phase 3,Closed,Pre-Closed,Moderna,PPD,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/31/2022,Non-Psych,"36,394", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,1408CYF | mRNA-1345-P301 | Ph 3,261,0,261,"5,630,635","5,630,635",No Priority,"6,603,324",Q1,PPD,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,275,243,243,0,,243,32,243,32,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,247,766 & 4703 & 4902,CYF | mRNA-1273-P204,CyFair,Dr. Khozema Palanpurwala,mRNA 1273-P204,Closed,Closed,Moderna,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,4/1/2021,Non-Psych,"33,273", Moderna-DMCR-mRNA-1273-P204 ,PPD,Moderna,Active,Closed,766 & 4703 & 4902CYF | mRNA-1273-P204,255,0,255,"231,133","231,133",No Priority,"238,134",Q2,PPD,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,380,740,CYF | mRNA-1273-P203,CyFair,Dr. Khozema Palanpurwala,mRNA-1273-P203,Closed,Closed,Moderna,PPD,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,12/29/2020,Non-Psych,"22,325", Moderna-DMCR-mRNA-1273-P203 ,PPD,Moderna,Active,Closed,740CYF | mRNA-1273-P203,234,0,234,"120,840","120,840",No Priority,"289,643",Q4,PPD,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,425,425,0,,425,-425,425,-425,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,408,985,CYF | C3671013,CyFair,Dr. Muhammad Irfan,C3671013,Maintenance,Maintenance,Pfizer,ICON,RSV Vaccine,Vaccine-Respiratory,Vaccine,,"5,032","12,504","1,723","2,516",0,0,0,0,0,0,0,0,"21,774.88",Maintenance,0,100%,,9/15/2021,Non-Psych,"6,826",Pfizer-DMCR-C3671013,ICON,Pfizer,Active,Closed,985CYF | C3671013,168,0,168,"119,273","119,273",No Priority,"256,331",Q3,ICON,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Pfizer,ICON,Not Priority,"19,259","2,516",0,  - ,,,0,0,0,183,183,0,,183,-183,183,-183,,"1,292",301 Onwards,N/A,Not Included,,,,,"5,032","12,504","1,723","2,516","21,775"
PMT,225,130,CYF | BN-RSV-MVA-004,CyFair,Dr. Muhammad Irfan,MVA-BN-RSV,Closed,Closed,Bavarian Nordic,PPD,RSV Vaccine,Vaccine-RSV,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,6/16/2022,Non-Psych,"8,649",Bavarian Nordic-DMCR-BN-RSV-MVA-004,PPD,Bavarian Nordic,Active,Closed,130CYF | BN-RSV-MVA-004,98,0,98,"186,183","186,183",No Priority,"276,611",Q2,PPD,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Other,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,102,102,0,,102,-102,102,-102,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,102,733,CYF | mRNA-1010-P302,CyFair,Dr. Muhammad Irfan,mRNA-1010-P302,Closed,Closed,Moderna,Parexel,Influenza,Vaccine-Influenza,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/26/2022,Non-Psych,"11,290",Moderna-DMCR-mRNA-1010-P302,Parexel,Moderna,Active,Closed,733CYF | mRNA-1010-P302,154,0,154,"644,389","644,389",No Priority,"876,523",Q3,Parexel,Closed,CyFair,Vaccine-Influenza,76% - 85%,Closed,Moderna,Parexel,Not Priority,0,0,0,  - ,,0,0,0,0,162,162,0,,162,-162,162,-162,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,297,767 & 4709,CYF | mRNA-1273-P306,CyFair,Dr. Khozema Palanpurwala,mRNA-1273-P306,Maintenance,Maintenance,Moderna,PPD,COVID-19,Vaccine-COVID,Vaccine,,"16,598",0,0,0,0,0,0,0,0,0,0,0,"16,598.00",Maintenance,0,100%,,8/9/2022,Non-Psych,"28,768", Moderna-DMCR-mRNA-1273-P306 ,PPD,Moderna,Active,Closed,767 & 4709CYF | mRNA-1273-P306,61,0,61,"330,525","330,525",No Priority,"482,062",Q3,PPD,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Moderna,PPD,Not Priority,"16,598",0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,"16,598",0,0,0,"16,598"
PMT,313,172,CYF | BHV3000-315,CyFair,Dr. Kashif Ali,BHV3000-315,Enrolling,Enrolling,Biohaven,Synteract,Migraine,General Medicine,Non-Vaccine,,0,0,0,0,0,"10,024","6,000","6,890","5,203","4,560","4,130","3,992","40,799.00",Enrolling,"27,269",100%,,8/23/2022,Non-Psych,"25,443",Biohaven-DMCR-BHV3000-315,Synteract,Biohaven,Active,Enrolling,172CYF | BHV3000-315,2,3,5,"120,659","120,659",No Priority,"132,059",Q3,Others,Enrolling,CyFair,Psychiatry,76% - 85%,Enrolling,Other,Other,Not Priority,0,"10,024","18,093","  12,682 ",,3,0,0,5,2,2,0,,2,3,2,3,,269,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,394,857,CYF | 2019nCoV-301 | Peds,CyFair,Dr. Kashif Ali,2019nCoV-301 Peds,Closed,Closed,Novavax,ICON,COVID-19,Vaccine-Pediatric,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,5/6/2021,Non-Psych,"55,644",Novavax-DMCR-2019nCoV-301-Pediatric Expansion,ICON,Novavax,Active,Closed,857CYF | 2019nCoV-301 | Peds,67,0,67,"242,955","242,955",No Priority,"363,567",Q2,ICON,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Other,ICON,Not Priority,0,0,0,  - ,,,0,0,0,69,69,0,,69,-69,69,-69,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,95,1699 & 4234,CYF | mRNA-1073-P101 | Ph 1,CyFair,Dr. Muhammad Irfan,mRNA-1073-P101 (Phase 1),Closed,Closed,Moderna,PPD,Influenza + SARSCoV-2,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,5/12/2022,Non-Psych,"10,850", Moderna-DMCR-mRNA-1073-P101 ,PPD,Moderna,Active,Closed,1699 & 4234CYF | mRNA-1073-P101 | Ph 1,50,0,50,0,0,No Priority,"154,958",Q2,PPD,Closed,CyFair,Vaccine-Other,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,312,37,CYF | 3110-306-002,CyFair,Dr. Khozema Palanpurwala,3110-306-002,Enrolling,Enrolling,AbbVie,None,Migraine,CNS/Psychiatry,Non-Vaccine,,0,0,0,0,0,"1,316",0,"7,886","1,754","4,041","7,299","2,193","24,490.06",Enrolling,"25,215",100%,,1/30/2023,Psych,"16,841",AbbVie-DMCR-3110-306-002,No CRO,Abbvie,Active,Enrolling,37CYF | 3110-306-002,4,4,8,"122,147","122,147",No Priority,"134,408",Q1,No CRO,Enrolling,CyFair,Psychiatry,76% - 85%,Enrolling,Other,Other,Not Priority,0,"1,316","9,641","  13,534 ",,4,0,0,5,4,4,0,,4,1,4,1,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,277,969,CYF | C4591007 | Ph 2/3,CyFair,Dr. Kashif Ali,C4591007,Closed,Pre-Closed,Pfizer,ICON,COVID-19,Vaccine-Pediatric,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,4/7/2022,Non-Psych,"67,959",Pfizer-DMCR-C4591007,ICON,Pfizer,Active,Closed,969CYF | C4591007 | Ph 2/3,11,0,11,"32,770","32,770",No Priority,"45,848",Q2,ICON,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,Pfizer,ICON,Not Priority,0,0,0,  - ,,,0,0,0,46,46,0,,46,-46,46,-46,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,290,1322,CYF | EBSI-CV-317-005,CyFair,Dr. Muhammad Irfan,EBSI-CV-317-005,Closed,Pre-Closed,Emergent,None,Chikungunya,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/17/2022,Non-Psych,"8,548",Emergent-DMCR-EBSI-CV-317-005,No CRO,Emergent,Active,Closed,1322CYF | EBSI-CV-317-005,8,0,8,"13,384","13,384",No Priority,"28,315",Q3,No CRO,Closed,CyFair,Vaccine-Other,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,0,8,8,0,,8,-8,8,-8,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,289,452 & 4719,CYF | 218128,CyFair,Dr. Muhammad Irfan,218128/VIR-7831-5012,Closed,Closed,GSK,Parexel,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,6/28/2022,Non-Psych,"25,041", GSK/Vir-DMCR-218128 ,Parexel,GSK,Active,Closed,452 & 4719CYF | 218128,10,0,10,"24,664","24,664",No Priority,"53,643",Q2,Parexel,Closed,CyFair,Vaccine-COVID,76% - 85%,Closed,GSK,Parexel,Not Priority,0,0,0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,291,36,CYF | 3110-305-002,CyFair,Dr. Muhammad Irfan,3110-305-002,Enrolling,Enrolling,AbbVie,None,Migraine, General Medicine ,Non-Vaccine,,0,0,0,0,0,"3,201",0,"3,837","2,952",517,"3,869","1,935","16,310.83",Enrolling,0,100%,,7/12/2022,Non-Psych,"7,313",AbbVie-DMCR-3110-305-002 (Pediatric Migraine),No CRO,Abbvie,Active,Enrolling,36CYF | 3110-305-002,3,3,6,"74,490","74,490",No Priority,"101,193",Q3,No CRO,Enrolling,CyFair,Psychiatry,76% - 85%,Enrolling,Other,Other,Not Priority,0,"3,201","6,789","  6,320 ",,3,1,1,18,2,2,0,,3,15,3,15,,276,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,393,716,CYF | mRNA-1345-P101 | Peds,CyFair,Dr. Kashif Ali,mRNA-1345-P101,Closed,Pre-Closed,Moderna,PPD,RSV Vaccine, Vaccine-Respiratory ,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,3/18/2022,Non-Psych,"21,755",Moderna-DMCR-mRNA-1345-P101,PPD,Moderna,Active,Closed,716CYF | mRNA-1345-P101 | Peds,4,0,4,"27,877","27,877",No Priority,"64,402",Q1,PPD,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,4,4,0,,4,-4,4,-4,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,279,457,CYF | NOR-212,CyFair,Dr. Muhammad Irfan,NOR-212,Closed,Closed,HilleVax,PRA,Norovirus,Vaccine-Other,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,5/3/2022,Non-Psych,"8,752",HilleVax-DMCR-NOR-212,PRA,HilleVax,Active,Closed,457CYF | NOR-212,1,0,1,"4,426","4,426",No Priority,"15,080",Q2,Others,Closed,CyFair,Vaccine-Other,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,0,0,0,0,2,2,0,,2,-2,2,-2,,"1,292",301 Onwards,N/A,Not Included,,,,,0,0,0,0,0
PMT,99,736,CYF | mRNA-1345-P901,CyFair,Dr. Muhammad Irfan,mRNA-1345-P901,Closed,Pre-Closed,Moderna,None,RSV Vaccine,Vaccine-RSV,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,11/29/2022,Non-Psych,925,Moderna-DMCR-mRNA-1345-P901,No CRO,Moderna,Active,Closed,736CYF | mRNA-1345-P901,159,0,159,"106,375","106,375",No Priority,"113,625",Q4,No CRO,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Moderna,Other,Not Priority,0,0,0,  - ,,0,0,0,20,158,158,0,,158,-138,158,-138,,274,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,148,1154,CYF | VAE00010,CyFair,Dr. Muhammad Irfan,VAE00010,Closed,Pre-Closed,Sanofi,ICON,RSV, Respiratory ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,2/10/2023,Non-Psych,"33,895",Sanofi-VAE00010-ERN: 6532,ICON,Sanofi,Active,Closed,1154CYF | VAE00010,6,0,6,"708,193","708,193",No Priority,"773,472",Q1,ICON,Closed,CyFair,Vaccine-Respiratory,76% - 85%,Closed,Sanofi,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,34,34,0,,34,-34,34,-34,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
